Date,Open,High,Low,Close,Index
2013-01-22,,,,12.72,Edelweiss Balanced Advantage Fund
2013-01-23,,,,12.67,Edelweiss Balanced Advantage Fund
2013-01-24,,,,12.63,Edelweiss Balanced Advantage Fund
2013-01-25,,,,12.71,Edelweiss Balanced Advantage Fund
2013-01-28,,,,12.71,Edelweiss Balanced Advantage Fund
2013-01-29,,,,12.69,Edelweiss Balanced Advantage Fund
2013-01-30,,,,12.69,Edelweiss Balanced Advantage Fund
2013-01-31,,,,12.68,Edelweiss Balanced Advantage Fund
2013-02-01,,,,12.65,Edelweiss Balanced Advantage Fund
2013-02-04,,,,12.65,Edelweiss Balanced Advantage Fund
2013-02-05,,,,12.62,Edelweiss Balanced Advantage Fund
2013-02-06,,,,12.63,Edelweiss Balanced Advantage Fund
2013-02-07,,,,12.64,Edelweiss Balanced Advantage Fund
2013-02-08,,,,12.64,Edelweiss Balanced Advantage Fund
2013-02-11,,,,12.6,Edelweiss Balanced Advantage Fund
2013-02-12,,,,12.63,Edelweiss Balanced Advantage Fund
2013-02-13,,,,12.67,Edelweiss Balanced Advantage Fund
2013-02-14,,,,12.64,Edelweiss Balanced Advantage Fund
2013-02-15,,,,12.63,Edelweiss Balanced Advantage Fund
2013-02-18,,,,12.61,Edelweiss Balanced Advantage Fund
2013-02-19,,,,12.64,Edelweiss Balanced Advantage Fund
2013-02-20,,,,12.65,Edelweiss Balanced Advantage Fund
2013-02-21,,,,12.64,Edelweiss Balanced Advantage Fund
2013-02-22,,,,12.69,Edelweiss Balanced Advantage Fund
2013-02-25,,,,12.73,Edelweiss Balanced Advantage Fund
2013-02-26,,,,12.73,Edelweiss Balanced Advantage Fund
2013-02-27,,,,12.75,Edelweiss Balanced Advantage Fund
2013-02-28,,,,12.62,Edelweiss Balanced Advantage Fund
2013-03-01,,,,12.64,Edelweiss Balanced Advantage Fund
2013-03-04,,,,12.61,Edelweiss Balanced Advantage Fund
2013-03-05,,,,12.66,Edelweiss Balanced Advantage Fund
2013-03-06,,,,12.64,Edelweiss Balanced Advantage Fund
2013-03-07,,,,12.67,Edelweiss Balanced Advantage Fund
2013-03-08,,,,12.76,Edelweiss Balanced Advantage Fund
2013-03-11,,,,12.78,Edelweiss Balanced Advantage Fund
2013-03-12,,,,12.75,Edelweiss Balanced Advantage Fund
2013-03-13,,,,12.65,Edelweiss Balanced Advantage Fund
2013-03-14,,,,12.66,Edelweiss Balanced Advantage Fund
2013-03-15,,,,12.66,Edelweiss Balanced Advantage Fund
2013-03-18,,,,12.62,Edelweiss Balanced Advantage Fund
2013-03-19,,,,12.6,Edelweiss Balanced Advantage Fund
2013-03-20,,,,12.55,Edelweiss Balanced Advantage Fund
2013-03-21,,,,12.6,Edelweiss Balanced Advantage Fund
2013-03-22,,,,12.56,Edelweiss Balanced Advantage Fund
2013-03-25,,,,12.54,Edelweiss Balanced Advantage Fund
2013-03-26,,,,12.57,Edelweiss Balanced Advantage Fund
2013-03-28,,,,12.61,Edelweiss Balanced Advantage Fund
2013-04-01,,,,12.61,Edelweiss Balanced Advantage Fund
2013-04-02,,,,12.63,Edelweiss Balanced Advantage Fund
2013-04-03,,,,12.61,Edelweiss Balanced Advantage Fund
2013-04-04,,,,12.57,Edelweiss Balanced Advantage Fund
2013-04-05,,,,12.56,Edelweiss Balanced Advantage Fund
2013-04-08,,,,12.54,Edelweiss Balanced Advantage Fund
2013-04-09,,,,12.52,Edelweiss Balanced Advantage Fund
2013-04-10,,,,12.51,Edelweiss Balanced Advantage Fund
2013-04-11,,,,12.55,Edelweiss Balanced Advantage Fund
2013-04-12,,,,12.57,Edelweiss Balanced Advantage Fund
2013-04-15,,,,12.58,Edelweiss Balanced Advantage Fund
2013-04-16,,,,12.62,Edelweiss Balanced Advantage Fund
2013-04-17,,,,12.64,Edelweiss Balanced Advantage Fund
2013-04-18,,,,12.68,Edelweiss Balanced Advantage Fund
2013-04-22,,,,12.73,Edelweiss Balanced Advantage Fund
2013-04-23,,,,12.71,Edelweiss Balanced Advantage Fund
2013-04-25,,,,12.82,Edelweiss Balanced Advantage Fund
2013-04-26,,,,12.73,Edelweiss Balanced Advantage Fund
2013-04-29,,,,12.82,Edelweiss Balanced Advantage Fund
2013-04-30,,,,12.95,Edelweiss Balanced Advantage Fund
2013-05-02,,,,13.08,Edelweiss Balanced Advantage Fund
2013-05-03,,,,13.01,Edelweiss Balanced Advantage Fund
2013-05-06,,,,13.03,Edelweiss Balanced Advantage Fund
