Date,Open,High,Low,Close,Index
2013-01-01,,,,94.763,HDFC Balanced Advantage Fund
2013-01-02,,,,95.483,HDFC Balanced Advantage Fund
2013-01-03,,,,95.847,HDFC Balanced Advantage Fund
2013-01-04,,,,96.543,HDFC Balanced Advantage Fund
2013-01-07,,,,96.444,HDFC Balanced Advantage Fund
2013-01-08,,,,96.413,HDFC Balanced Advantage Fund
2013-01-09,,,,96.43,HDFC Balanced Advantage Fund
2013-01-10,,,,96.267,HDFC Balanced Advantage Fund
2013-01-11,,,,96.074,HDFC Balanced Advantage Fund
2013-01-14,,,,97.155,HDFC Balanced Advantage Fund
2013-01-15,,,,97.722,HDFC Balanced Advantage Fund
2013-01-16,,,,96.629,HDFC Balanced Advantage Fund
2013-01-17,,,,97.174,HDFC Balanced Advantage Fund
2013-01-18,,,,98.264,HDFC Balanced Advantage Fund
2013-01-21,,,,98.645,HDFC Balanced Advantage Fund
2013-01-22,,,,97.849,HDFC Balanced Advantage Fund
2013-01-23,,,,97.442,HDFC Balanced Advantage Fund
2013-01-24,,,,95.883,HDFC Balanced Advantage Fund
2013-01-25,,,,97.009,HDFC Balanced Advantage Fund
2013-01-28,,,,97.099,HDFC Balanced Advantage Fund
2013-01-29,,,,96.724,HDFC Balanced Advantage Fund
2013-01-30,,,,96.662,HDFC Balanced Advantage Fund
2013-01-31,,,,96.55,HDFC Balanced Advantage Fund
2013-02-01,,,,96.401,HDFC Balanced Advantage Fund
2013-02-04,,,,95.735,HDFC Balanced Advantage Fund
2013-02-05,,,,94.742,HDFC Balanced Advantage Fund
2013-02-06,,,,94.793,HDFC Balanced Advantage Fund
2013-02-07,,,,94.437,HDFC Balanced Advantage Fund
2013-02-08,,,,93.322,HDFC Balanced Advantage Fund
2013-02-11,,,,93.22,HDFC Balanced Advantage Fund
2013-02-12,,,,93.376,HDFC Balanced Advantage Fund
2013-02-13,,,,93.324,HDFC Balanced Advantage Fund
2013-02-14,,,,92.18,HDFC Balanced Advantage Fund
2013-02-15,,,,91.891,HDFC Balanced Advantage Fund
2013-02-18,,,,92.138,HDFC Balanced Advantage Fund
