Date,Open,High,Low,Close,Index
2013-01-02,,,,17.4,ICICI Prudential Balanced Advantage Fund
2013-01-03,,,,17.45,ICICI Prudential Balanced Advantage Fund
2013-01-04,,,,17.46,ICICI Prudential Balanced Advantage Fund
2013-01-07,,,,17.46,ICICI Prudential Balanced Advantage Fund
2013-01-08,,,,17.46,ICICI Prudential Balanced Advantage Fund
2013-01-09,,,,17.46,ICICI Prudential Balanced Advantage Fund
2013-01-10,,,,17.45,ICICI Prudential Balanced Advantage Fund
2013-01-11,,,,17.39,ICICI Prudential Balanced Advantage Fund
2013-01-14,,,,17.49,ICICI Prudential Balanced Advantage Fund
2013-01-15,,,,17.55,ICICI Prudential Balanced Advantage Fund
2013-01-16,,,,17.44,ICICI Prudential Balanced Advantage Fund
2013-01-17,,,,17.5,ICICI Prudential Balanced Advantage Fund
2013-01-18,,,,17.49,ICICI Prudential Balanced Advantage Fund
2013-01-21,,,,17.52,ICICI Prudential Balanced Advantage Fund
2013-01-22,,,,17.47,ICICI Prudential Balanced Advantage Fund
2013-01-23,,,,17.43,ICICI Prudential Balanced Advantage Fund
2013-01-24,,,,17.33,ICICI Prudential Balanced Advantage Fund
2013-01-25,,,,17.45,ICICI Prudential Balanced Advantage Fund
2013-01-28,,,,17.46,ICICI Prudential Balanced Advantage Fund
2013-01-29,,,,17.42,ICICI Prudential Balanced Advantage Fund
2013-01-30,,,,17.43,ICICI Prudential Balanced Advantage Fund
2013-01-31,,,,17.38,ICICI Prudential Balanced Advantage Fund
2013-02-01,,,,17.32,ICICI Prudential Balanced Advantage Fund
2013-02-04,,,,17.3,ICICI Prudential Balanced Advantage Fund
2013-02-05,,,,17.22,ICICI Prudential Balanced Advantage Fund
2013-02-06,,,,17.23,ICICI Prudential Balanced Advantage Fund
2013-02-07,,,,17.19,ICICI Prudential Balanced Advantage Fund
2013-02-08,,,,17.13,ICICI Prudential Balanced Advantage Fund
2013-02-11,,,,17.12,ICICI Prudential Balanced Advantage Fund
2013-02-12,,,,17.15,ICICI Prudential Balanced Advantage Fund
2013-02-13,,,,17.17,ICICI Prudential Balanced Advantage Fund
2013-02-14,,,,17.09,ICICI Prudential Balanced Advantage Fund
2013-02-15,,,,17.02,ICICI Prudential Balanced Advantage Fund
2013-02-18,,,,17.05,ICICI Prudential Balanced Advantage Fund
2013-02-19,,,,17.14,ICICI Prudential Balanced Advantage Fund
2013-02-20,,,,17.15,ICICI Prudential Balanced Advantage Fund
2013-02-21,,,,16.99,ICICI Prudential Balanced Advantage Fund
