Date,Open,High,Low,Close,Index
2021-09-07,,,,10.0545,SBI Balanced Advantage Fund
2021-09-08,,,,10.0679,SBI Balanced Advantage Fund
2021-09-09,,,,10.0694,SBI Balanced Advantage Fund
2021-09-13,,,,10.0709,SBI Balanced Advantage Fund
2021-09-14,,,,10.0872,SBI Balanced Advantage Fund
2021-09-15,,,,10.1069,SBI Balanced Advantage Fund
2021-09-16,,,,10.1402,SBI Balanced Advantage Fund
2021-09-17,,,,10.1428,SBI Balanced Advantage Fund
2021-09-20,,,,10.1247,SBI Balanced Advantage Fund
2021-09-21,,,,10.1337,SBI Balanced Advantage Fund
2021-09-22,,,,10.1402,SBI Balanced Advantage Fund
2021-09-23,,,,10.1911,SBI Balanced Advantage Fund
2021-09-24,,,,10.1922,SBI Balanced Advantage Fund
2021-09-27,,,,10.1889,SBI Balanced Advantage Fund
2021-09-28,,,,10.1888,SBI Balanced Advantage Fund
2021-09-29,,,,10.1937,SBI Balanced Advantage Fund
2021-09-30,,,,10.187,SBI Balanced Advantage Fund
2021-10-01,,,,10.183,SBI Balanced Advantage Fund
2021-10-04,,,,10.1982,SBI Balanced Advantage Fund
2021-10-05,,,,10.2077,SBI Balanced Advantage Fund
2021-10-06,,,,10.1861,SBI Balanced Advantage Fund
2021-10-07,,,,10.207,SBI Balanced Advantage Fund
2021-10-08,,,,10.2074,SBI Balanced Advantage Fund
2021-10-11,,,,10.2277,SBI Balanced Advantage Fund
2021-10-12,,,,10.2313,SBI Balanced Advantage Fund
2021-10-13,,,,10.2574,SBI Balanced Advantage Fund
2021-10-14,,,,10.2938,SBI Balanced Advantage Fund
2021-10-18,,,,10.3204,SBI Balanced Advantage Fund
2021-10-19,,,,10.2941,SBI Balanced Advantage Fund
2021-10-20,,,,10.2601,SBI Balanced Advantage Fund
2021-10-21,,,,10.2603,SBI Balanced Advantage Fund
2021-10-22,,,,10.2617,SBI Balanced Advantage Fund
2021-10-25,,,,10.2603,SBI Balanced Advantage Fund
2021-10-26,,,,10.2874,SBI Balanced Advantage Fund
2021-10-27,,,,10.2891,SBI Balanced Advantage Fund
2021-10-28,,,,10.2237,SBI Balanced Advantage Fund
2021-10-29,,,,10.2059,SBI Balanced Advantage Fund
2021-11-01,,,,10.2575,SBI Balanced Advantage Fund
2021-11-02,,,,10.2696,SBI Balanced Advantage Fund
2021-11-03,,,,10.2604,SBI Balanced Advantage Fund
2021-11-08,,,,10.308,SBI Balanced Advantage Fund
2021-11-09,,,,10.3123,SBI Balanced Advantage Fund
2021-11-10,,,,10.3188,SBI Balanced Advantage Fund
2021-11-11,,,,10.2791,SBI Balanced Advantage Fund
2021-11-12,,,,10.3269,SBI Balanced Advantage Fund
2021-11-15,,,,10.3388,SBI Balanced Advantage Fund
2021-11-16,,,,10.3233,SBI Balanced Advantage Fund
2021-11-17,,,,10.3146,SBI Balanced Advantage Fund
2021-11-18,,,,10.2702,SBI Balanced Advantage Fund
2021-11-22,,,,10.1918,SBI Balanced Advantage Fund
2021-11-23,,,,10.2218,SBI Balanced Advantage Fund
2021-11-24,,,,10.2117,SBI Balanced Advantage Fund
