Date,Open,High,Low,Close,Index
2002-11-08,,,,1360.04,NIFTY NEXT 50 TRI
2002-11-11,,,,1358.22,NIFTY NEXT 50 TRI
2002-11-12,,,,1355.11,NIFTY NEXT 50 TRI
2002-11-13,,,,1355.13,NIFTY NEXT 50 TRI
2002-11-14,,,,1353.22,NIFTY NEXT 50 TRI
2002-11-15,,,,1357.7,NIFTY NEXT 50 TRI
2002-11-18,,,,1364.16,NIFTY NEXT 50 TRI
2002-11-20,,,,1369.62,NIFTY NEXT 50 TRI
2002-11-21,,,,1380.63,NIFTY NEXT 50 TRI
2002-11-22,,,,1398.38,NIFTY NEXT 50 TRI
2002-11-25,,,,1410.11,NIFTY NEXT 50 TRI
2002-11-26,,,,1415.85,NIFTY NEXT 50 TRI
2002-11-27,,,,1416.21,NIFTY NEXT 50 TRI
2002-11-28,,,,1427.25,NIFTY NEXT 50 TRI
2002-11-29,,,,1452.86,NIFTY NEXT 50 TRI
2002-12-02,,,,1494.78,NIFTY NEXT 50 TRI
2002-12-03,,,,1473.96,NIFTY NEXT 50 TRI
2002-12-04,,,,1455.59,NIFTY NEXT 50 TRI
2002-12-05,,,,1474.67,NIFTY NEXT 50 TRI
2002-12-06,,,,1501.88,NIFTY NEXT 50 TRI
2002-12-09,,,,1487.81,NIFTY NEXT 50 TRI
2002-12-10,,,,1491.01,NIFTY NEXT 50 TRI
2002-12-11,,,,1502.81,NIFTY NEXT 50 TRI
2002-12-12,,,,1512.31,NIFTY NEXT 50 TRI
2002-12-13,,,,1540.39,NIFTY NEXT 50 TRI
2002-12-16,,,,1523.53,NIFTY NEXT 50 TRI
2002-12-17,,,,1512.27,NIFTY NEXT 50 TRI
2002-12-18,,,,1512.14,NIFTY NEXT 50 TRI
2002-12-19,,,,1510.07,NIFTY NEXT 50 TRI
2002-12-20,,,,1516.55,NIFTY NEXT 50 TRI
2002-12-23,,,,1500.36,NIFTY NEXT 50 TRI
2002-12-24,,,,1513.92,NIFTY NEXT 50 TRI
2002-12-26,,,,1524.88,NIFTY NEXT 50 TRI
2002-12-27,,,,1528.91,NIFTY NEXT 50 TRI
2002-12-30,,,,1526.86,NIFTY NEXT 50 TRI
2002-12-31,,,,1535.73,NIFTY NEXT 50 TRI
2003-01-01,,,,1539.31,NIFTY NEXT 50 TRI
2003-01-02,,,,1522.47,NIFTY NEXT 50 TRI
2003-01-03,,,,1512.04,NIFTY NEXT 50 TRI
2003-01-06,,,,1507.5,NIFTY NEXT 50 TRI
2003-01-07,,,,1509.42,NIFTY NEXT 50 TRI
2003-01-08,,,,1528.75,NIFTY NEXT 50 TRI
2003-01-09,,,,1550.8,NIFTY NEXT 50 TRI
2003-01-10,,,,1544.24,NIFTY NEXT 50 TRI
2003-01-13,,,,1545.92,NIFTY NEXT 50 TRI
2003-01-14,,,,1551.2,NIFTY NEXT 50 TRI
2003-01-15,,,,1561.75,NIFTY NEXT 50 TRI
2003-01-16,,,,1566.62,NIFTY NEXT 50 TRI
2003-01-17,,,,1569.23,NIFTY NEXT 50 TRI
2003-01-20,,,,1565.82,NIFTY NEXT 50 TRI
2003-01-21,,,,1582.08,NIFTY NEXT 50 TRI
