Date,Open,High,Low,Close,Index
2013-01-02,,,,117.5127,ICICI Prudential Multi Asset Allocation Fund
2013-01-03,,,,118.5352,ICICI Prudential Multi Asset Allocation Fund
2013-01-04,,,,119.0847,ICICI Prudential Multi Asset Allocation Fund
2013-01-07,,,,119.4796,ICICI Prudential Multi Asset Allocation Fund
2013-01-08,,,,119.4412,ICICI Prudential Multi Asset Allocation Fund
2013-01-09,,,,119.5457,ICICI Prudential Multi Asset Allocation Fund
2013-01-10,,,,119.2919,ICICI Prudential Multi Asset Allocation Fund
2013-01-11,,,,119.646,ICICI Prudential Multi Asset Allocation Fund
2013-01-14,,,,120.6937,ICICI Prudential Multi Asset Allocation Fund
2013-01-15,,,,121.1169,ICICI Prudential Multi Asset Allocation Fund
2013-01-16,,,,120.4664,ICICI Prudential Multi Asset Allocation Fund
2013-01-17,,,,121.1814,ICICI Prudential Multi Asset Allocation Fund
2013-01-18,,,,121.3088,ICICI Prudential Multi Asset Allocation Fund
2013-01-21,,,,121.8271,ICICI Prudential Multi Asset Allocation Fund
2013-01-22,,,,120.9304,ICICI Prudential Multi Asset Allocation Fund
2013-01-23,,,,120.7216,ICICI Prudential Multi Asset Allocation Fund
2013-01-24,,,,119.6981,ICICI Prudential Multi Asset Allocation Fund
2013-01-25,,,,120.2971,ICICI Prudential Multi Asset Allocation Fund
2013-01-28,,,,120.4087,ICICI Prudential Multi Asset Allocation Fund
2013-01-29,,,,119.8654,ICICI Prudential Multi Asset Allocation Fund
2013-01-30,,,,119.7036,ICICI Prudential Multi Asset Allocation Fund
2013-01-31,,,,119.1549,ICICI Prudential Multi Asset Allocation Fund
2013-02-01,,,,118.9651,ICICI Prudential Multi Asset Allocation Fund
2013-02-04,,,,117.9771,ICICI Prudential Multi Asset Allocation Fund
2013-02-05,,,,117.0289,ICICI Prudential Multi Asset Allocation Fund
2013-02-06,,,,117.3568,ICICI Prudential Multi Asset Allocation Fund
2013-02-07,,,,116.6595,ICICI Prudential Multi Asset Allocation Fund
2013-02-08,,,,115.9942,ICICI Prudential Multi Asset Allocation Fund
2013-02-11,,,,115.955,ICICI Prudential Multi Asset Allocation Fund
2013-02-12,,,,116.125,ICICI Prudential Multi Asset Allocation Fund
2013-02-13,,,,116.0062,ICICI Prudential Multi Asset Allocation Fund
2013-02-14,,,,115.0471,ICICI Prudential Multi Asset Allocation Fund
2013-02-15,,,,114.872,ICICI Prudential Multi Asset Allocation Fund
2013-02-18,,,,115.2758,ICICI Prudential Multi Asset Allocation Fund
2013-02-19,,,,116.1119,ICICI Prudential Multi Asset Allocation Fund
2013-02-20,,,,116.1565,ICICI Prudential Multi Asset Allocation Fund
2013-02-21,,,,114.8186,ICICI Prudential Multi Asset Allocation Fund
2013-02-22,,,,115.1706,ICICI Prudential Multi Asset Allocation Fund
2013-02-25,,,,114.8287,ICICI Prudential Multi Asset Allocation Fund
2013-02-26,,,,113.7103,ICICI Prudential Multi Asset Allocation Fund
2013-02-27,,,,114.2391,ICICI Prudential Multi Asset Allocation Fund
2013-02-28,,,,113.0687,ICICI Prudential Multi Asset Allocation Fund
2013-03-01,,,,113.4905,ICICI Prudential Multi Asset Allocation Fund
2013-03-04,,,,113.0246,ICICI Prudential Multi Asset Allocation Fund
2013-03-05,,,,114.4831,ICICI Prudential Multi Asset Allocation Fund
2013-03-06,,,,115.628,ICICI Prudential Multi Asset Allocation Fund
